NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,RANDOM SEED,CUT SETTING,STATUS,END
aflow40b.mps.gz,-66091,0,0,1005.664817,1168,10220.42344,0.230684,1168,0,2608,0,0,5221215,4,0,optimal,DONE
aflow40b.mps.gz,-66091,0,0,1005.664817,1168,11073.98796,0.227675,1168,0,2608,0,0,5221215,8,0,optimal,DONE
aflow40b.mps.gz,-66091,0,0,1005.664817,1168,11503.66544,0.239853,1168,0,2608,0,0,5221215,16,0,optimal,DONE
aflow40b.mps.gz,-66091,0,0,1005.664817,1168,11491.92292,0.25928,1168,0,2608,0,0,5221215,32,0,optimal,DONE
air03.mps.gz,-513715782,0,0,338864.25,340160,1.804198,0.89088,340160,0,212,0,0,1,2,0,optimal,DONE
air03.mps.gz,-513715782,0,0,338864.25,340160,1.798201,0.887568,340160,0,212,0,0,1,4,0,optimal,DONE
air03.mps.gz,-513715782,0,0,338864.25,340160,1.788286,0.878938,340160,0,212,0,0,1,8,0,optimal,DONE
air03.mps.gz,-513715782,0,0,338864.25,340160,1.780167,0.878936,340160,0,212,0,0,1,16,0,optimal,DONE
air03.mps.gz,-513715782,0,0,338864.25,340160,1.788873,0.88286,340160,0,212,0,0,1,32,0,optimal,DONE
air04.mps.gz,-83210,0,0,55535.43639,56137,86.539452,5.381665,56137,0,600,0,0,499,2,0,optimal,DONE
air04.mps.gz,-83210,0,0,55535.43639,56137,86.575202,5.397225,56137,0,600,0,0,499,4,0,optimal,DONE
air04.mps.gz,-83210,0,0,55535.43639,56137,85.003514,5.169729,56137,0,600,0,0,499,8,0,optimal,DONE
air04.mps.gz,-83210,0,0,55535.43639,56137,85.48366,5.245921,56137,0,600,0,0,499,16,0,optimal,DONE
air04.mps.gz,-83210,0,0,55535.43639,56137,86.278143,5.494685,56137,0,600,0,0,499,32,0,optimal,DONE
air05.mps.gz,-40465,0,0,25877.60927,26374,54.013626,0.446084,26374,0,342,0,0,722,2,0,optimal,DONE
air05.mps.gz,-40465,0,0,25877.60927,26374,54.60964,0.44763,26374,0,342,0,0,722,4,0,optimal,DONE
air05.mps.gz,-40465,0,0,25877.60927,26374,54.406288,0.447408,26374,0,342,0,0,722,8,0,optimal,DONE
air05.mps.gz,-40465,0,0,25877.60927,26374,53.174093,0.445595,26374,0,342,0,0,722,16,0,optimal,DONE
air05.mps.gz,-40465,0,0,25877.60927,26374,53.141479,0.438628,26374,0,342,0,0,722,32,0,optimal,DONE
aligninq.mps.gz,2654.736802,0,0,2654.736802,2713,19.460242,0.103469,2713,0,708,0,0,343,2,0,optimal,DONE
aligninq.mps.gz,2654.736802,0,0,2654.736802,2713,19.335663,0.101762,2713,0,708,0,0,343,4,0,optimal,DONE
aligninq.mps.gz,2654.736802,0,0,2654.736802,2713,19.494898,0.101432,2713,0,708,0,0,343,8,0,optimal,DONE
aligninq.mps.gz,2654.736802,0,0,2654.736802,2713,19.806271,0.101712,2713,0,708,0,0,343,16,0,optimal,DONE
aligninq.mps.gz,2654.736802,0,0,2654.736802,2713,19.699747,0.105387,2713,0,708,0,0,343,32,0,optimal,DONE
allcolor10.mps.gz,-54660,0,0,6,249,18000.00268,2.888453,249,40.5,20654,0,0,123510,2,0,timelimit,DONE
allcolor10.mps.gz,-54660,0,0,6,249,18000.00243,2.890411,249,40.5,20654,0,0,120405,4,0,timelimit,DONE
allcolor10.mps.gz,-54660,0,0,6,249,18000.00227,2.644128,249,40.5,20654,0,0,117389,8,0,timelimit,DONE
allcolor10.mps.gz,-54660,0,0,6,249,18000.00303,2.633221,249,40.5,20654,0,0,120851,16,0,timelimit,DONE
allcolor10.mps.gz,-54660,0,0,6,249,18000.00534,2.545051,249,40.5,20654,0,0,133016,32,0,timelimit,DONE
app1-1.mps.gz,-23,0,0,-3.993827854,-3,0.704558,0.42642,-3,0,2419,0,0,4,2,0,optimal,DONE
app1-1.mps.gz,-23,0,0,-3.993827854,-3,0.709395,0.425217,-3,0,2419,0,0,4,4,0,optimal,DONE
app1-1.mps.gz,-23,0,0,-3.993827854,-3,0.705405,0.425461,-3,0,2419,0,0,4,8,0,optimal,DONE
app1-1.mps.gz,-23,0,0,-3.993827854,-3,0.695428,0.421848,-3,0,2419,0,0,4,16,0,optimal,DONE
app1-1.mps.gz,-23,0,0,-3.993827854,-3,0.700675,0.425313,-3,0,2419,0,0,4,32,0,optimal,DONE
app1-2.mps.gz,-266,0,0,-53.94147364,-41,348.727882,8.673885,-41,0,26555,0,0,11191,2,0,optimal,DONE
app1-2.mps.gz,-266,0,0,-53.94147364,-41,346.916255,8.627322,-41,0,26555,0,0,11191,4,0,optimal,DONE
app1-2.mps.gz,-266,0,0,-53.94147364,-41,343.126423,8.478551,-41,0,26555,0,0,11191,8,0,optimal,DONE
app1-2.mps.gz,-266,0,0,-53.94147364,-41,341.294458,8.497079,-41,0,26555,0,0,11191,16,0,optimal,DONE
app1-2.mps.gz,-266,0,0,-53.94147364,-41,335.877373,8.31151,-41,0,26555,0,0,11191,32,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.410123,0.183443,19294.25,0,997,0,0,1,2,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.416625,0.187901,19294.25,0,997,0,0,1,4,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.417622,0.188119,19294.25,0,997,0,0,1,8,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.399624,0.18693,19294.25,0,997,0,0,1,16,0,optimal,DONE
app2-1.mps.gz,19294.25,0,0,19294.25,19294.25,0.390058,0.178062,19294.25,0,997,0,0,1,32,0,optimal,DONE
app2-2.mps.gz,212040.3571,0,0,212040.3571,212040.5,0.358247,0.07533,212040.5,0,343,0,0,1,2,0,optimal,DONE
app2-2.mps.gz,212040.3571,0,0,212040.3571,212040.5,0.354216,0.076168,212040.5,0,343,0,0,1,4,0,optimal,DONE
app2-2.mps.gz,212040.3571,0,0,212040.3571,212040.5,0.360271,0.077302,212040.5,0,343,0,0,1,8,0,optimal,DONE
app2-2.mps.gz,212040.3571,0,0,212040.3571,212040.5,0.36046,0.077872,212040.5,0,343,0,0,1,16,0,optimal,DONE
app2-2.mps.gz,212040.3571,0,0,212040.3571,212040.5,0.350673,0.075585,212040.5,0,343,0,0,1,32,0,optimal,DONE
app3.mps.gz,-31829377681,0,0,5644070.732,5751714.329,1.628092,0.069592,5751714.329,0,724,0,0,98,2,0,optimal,DONE
app3.mps.gz,-31829377681,0,0,5644070.732,5751714.329,1.63856,0.073527,5751714.329,0,724,0,0,98,4,0,optimal,DONE
app3.mps.gz,-31829377681,0,0,5644070.732,5751714.329,1.634801,0.073867,5751714.329,0,724,0,0,98,8,0,optimal,DONE
app3.mps.gz,-31829377681,0,0,5644070.732,5751714.329,1.630021,0.071208,5751714.329,0,724,0,0,98,16,0,optimal,DONE
app3.mps.gz,-31829377681,0,0,5644070.732,5751714.329,1.627463,0.072019,5751714.329,0,724,0,0,98,32,0,optimal,DONE
arki001.mps.gz,1273480.9,0,0,7579621.852,7580813.071,3189.343775,0.116545,7580813.071,0,1383,0,0,1761208,2,0,optimal,DONE
