,index,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
0,0,neos-5140963-mincio.mps.gz,16296.812995999997,17910.8458014,5624805.0,5527433.2,1,1,1,1,16296.812995999997,5527433.2,16296.812995999997,16296.812995999997,16296.812995999997,5624805.0,5624805.0,5624805.0
1,1,neos8.mps.gz,16.7803234,72.8905102,1.0,1.0,1,1,1,1,16.7803234,1.0,16.7803234,16.7803234,16.7803234,1.0,1.0,1.0
2,2,neos-4391920-timok.mps.gz,299.3841612,847.0663754000001,1.0,1.0,1,1,1,1,299.3841612,1.0,299.3841612,299.3841612,299.3841612,1.0,1.0,1.0
3,3,30_70_45_095_98.mps.gz,76.55775359999998,40.224768399999995,1.0,1.0,0,1,1,0,40.224768399999995,1.0,76.55775359999998,40.224768399999995,76.55775359999998,1.0,1.0,1.0
4,4,wachplan.mps.gz,1434.6054081999998,1779.1561254,67520.0,98056.0,1,1,1,1,1434.6054081999998,67520.0,1434.6054081999998,1434.6054081999998,1434.6054081999998,67520.0,67520.0,67520.0
5,5,neos-3004026-krka.mps.gz,403.68241539999997,60.1668774,13955.0,5663.0,0,1,1,0,60.1668774,5663.0,403.68241539999997,60.1668774,403.68241539999997,13955.0,5663.0,13955.0
6,6,swath2.mps.gz,61.110012000000005,55.2684358,1926.0,1333.0,0,1,1,0,55.2684358,1333.0,61.110012000000005,55.2684358,61.110012000000005,1926.0,1333.0,1926.0
7,7,CMS750_4.mps.gz,18000.492353999998,15887.4238206,1.0,155687.0,0,1,1,0,15887.4238206,1.0,18000.492353999998,15887.4238206,18000.492353999998,1.0,155687.0,1.0
8,8,neos-3226448-wkra.mps.gz,18000.002084,6639.9670562,188.0,44.0,0,1,0,0,6639.9670562,44.0,6639.9670562,6639.9670562,18000.002084,44.0,44.0,188.0
9,9,aligninq.mps.gz,42.60985,19.9275484,979.0,343.0,0,1,1,0,19.9275484,343.0,42.60985,19.9275484,42.60985,979.0,343.0,979.0
10,10,danoint.mps.gz,6039.8008036,4703.361701399999,1239048.0,1591551.0,0,1,0,0,4703.361701399999,1239048.0,4703.361701399999,4703.361701399999,6039.8008036,1591551.0,1591551.0,1239048.0
11,11,neos6.mps.gz,382.54915739999996,807.97261,3667.0,9640.0,1,1,1,1,382.54915739999996,3667.0,382.54915739999996,382.54915739999996,382.54915739999996,3667.0,3667.0,3667.0
12,12,air04.mps.gz,67.32292199999999,95.7741518,134.0,499.0,1,1,1,1,67.32292199999999,134.0,67.32292199999999,67.32292199999999,67.32292199999999,134.0,134.0,134.0
13,13,map16715-04.mps.gz,1890.8414367999999,1634.9709292000002,1657.0,2000.0,1,1,0,0,1634.9709292000002,1657.0,1634.9709292000002,1890.8414367999999,1890.8414367999999,2000.0,1657.0,1657.0
14,14,neos-633273.mps.gz,0.7283503999999998,0.7563008,1.0,1.0,1,1,1,1,0.7283503999999998,1.0,0.7283503999999998,0.7283503999999998,0.7283503999999998,1.0,1.0,1.0
15,15,acc-tight2.mps.gz,15.5857404,14.378535600000001,7.0,80.0,0,1,0,0,14.378535600000001,7.0,14.378535600000001,14.378535600000001,15.5857404,80.0,80.0,7.0
16,16,pw-myciel4.mps.gz,705.3985839999999,1369.3663069999998,46551.0,128785.0,1,1,1,1,705.3985839999999,46551.0,705.3985839999999,705.3985839999999,705.3985839999999,46551.0,46551.0,46551.0
17,17,prod1.mps.gz,28.2855542,47.74903140000001,23996.0,84130.0,1,1,1,1,28.2855542,23996.0,28.2855542,28.2855542,28.2855542,23996.0,23996.0,23996.0
18,18,neos-3755335-nizao.mps.gz,16.354954000000003,16.8462054,1.0,1.0,1,1,1,1,16.354954000000003,1.0,16.354954000000003,16.354954000000003,16.354954000000003,1.0,1.0,1.0
