,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
17,aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.080013,1158.0,0.0,44341,3041,0,1923,0.083974,0.140237,11.591228,16,1,optimal,DONE
17,aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.133396,1158.0,0.0,44341,3041,0,1923,0.0814319999999999,0.136317,11.627209,4,1,optimal,DONE
17,aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.043894,1158.0,0.0,44341,3041,0,1923,0.079377,0.132471,11.57473,8,1,optimal,DONE
17,aflow30a.mps.gz,-32161.0,1006.2110928412112,60,1103.8298423870674,1158.0,32.11973,1158.0,0.0,44341,3041,0,1923,0.0790169999999999,0.134353,11.606046,32,1,optimal,DONE
18,aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,982.834547,1168.0,0.0,510004,23397,0,34552,0.256144,0.440254,398.147537,8,1,optimal,DONE
18,aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,949.812771,1168.0,0.0,510004,23397,0,34552,0.281367,0.4786109999999999,400.830227,16,1,optimal,DONE
18,aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,950.713557,1168.0,0.0,510004,23397,0,34552,0.278035,0.4747639999999999,401.667078,32,1,optimal,DONE
18,aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,959.929243,1168.0,0.0,510004,23397,0,34552,0.2780809999999999,0.4753819999999999,406.473839,2,1,optimal,DONE
18,aflow40b.mps.gz,-66091.0,1007.5518896388348,68,1104.8952792858,1168.0,960.966244,1168.0,0.0,510004,23397,0,34552,0.279941,0.4761169999999999,407.133409,4,1,optimal,DONE
19,air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.982318,340160.0,0.0,124,33,0,1,0.851479,1.686153,2.982256,32,1,optimal,DONE
19,air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.940051,340160.0,0.0,124,33,0,1,0.866958,1.678046,2.939987,16,1,optimal,DONE
19,air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.935421,340160.0,0.0,124,33,0,1,0.8698849999999999,1.682035,2.935355,2,1,optimal,DONE
19,air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.930712,340160.0,0.0,124,33,0,1,0.862865,1.671397,2.93065,8,1,optimal,DONE
19,air03.mps.gz,-513715782.0,338889.25,19,340033.75,340160.0,2.917202,340160.0,0.0,124,33,0,1,0.8663099999999999,1.675927,2.917138,4,1,optimal,DONE
20,air04.mps.gz,-83210.0,55558.52412719808,24,55749.07964740884,56137.0,71.102068,56137.0,0.0,764,103,0,134,7.898206,13.449299,25.896131,4,1,optimal,DONE
20,air04.mps.gz,-83210.0,55558.52412719808,24,55749.07964740884,56137.0,70.560726,56137.0,0.0,764,103,0,134,7.155658,12.773924,25.267137,16,1,optimal,DONE
20,air04.mps.gz,-83210.0,55558.52412719808,24,55749.07964740884,56137.0,73.920405,56137.0,0.0,764,103,0,134,7.721709,13.692954,27.580791,32,1,optimal,DONE
