,NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
15,acc-tight4.mps.gz,0.0,0,0,0.0,0.0,128.12763,0.0,0.0,3186,0,0,674,0.9420790000000001,0,0,32,0,optimal,DONE
15,acc-tight4.mps.gz,0.0,0,0,0.0,0.0,128.20657,0.0,0.0,3186,0,0,674,0.938902,0,0,16,0,optimal,DONE
15,acc-tight4.mps.gz,0.0,0,0,0.0,0.0,126.664652,0.0,0.0,3186,0,0,674,0.912757,0,0,4,0,optimal,DONE
15,acc-tight4.mps.gz,0.0,0,0,0.0,0.0,127.83521599999999,0.0,0.0,3186,0,0,674,0.942217,0,0,8,0,optimal,DONE
16,acc-tight5.mps.gz,0.0,0,0,0.0,0.0,73.545594,0.0,0.0,2298,0,0,713,1.829495,0,0,8,0,optimal,DONE
16,acc-tight5.mps.gz,0.0,0,0,0.0,0.0,73.25869900000002,0.0,0.0,2298,0,0,713,1.7117939999999998,0,0,16,0,optimal,DONE
16,acc-tight5.mps.gz,0.0,0,0,0.0,0.0,73.047392,0.0,0.0,2298,0,0,713,1.740443,0,0,2,0,optimal,DONE
16,acc-tight5.mps.gz,0.0,0,0,0.0,0.0,73.310378,0.0,0.0,2298,0,0,713,1.7576479999999999,0,0,32,0,optimal,DONE
16,acc-tight5.mps.gz,0.0,0,0,0.0,0.0,73.13169,0.0,0.0,2298,0,0,713,1.7565110000000002,0,0,4,0,optimal,DONE
425,adult-max5features.mps.gz,0.08131607920112076,0,0,0.08131607920112073,7841.0,18000.223809,7841.0,81913.11663602912,32706,0,0,622,10.217514999999999,0,0,2,0,timelimit,DONE
17,aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,47.825651,1158.0,0.0,824,0,0,42445,0.078303,0,0,16,0,optimal,DONE
17,aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,49.361053000000005,1158.0,0.0,824,0,0,42445,0.08355800000000001,0,0,8,0,optimal,DONE
17,aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,49.319438,1158.0,0.0,824,0,0,42445,0.08453,0,0,4,0,optimal,DONE
17,aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,49.320398,1158.0,0.0,824,0,0,42445,0.073324,0,0,2,0,optimal,DONE
17,aflow30a.mps.gz,-32161.0,0,0,983.1674252633647,1158.0,47.928538,1158.0,0.0,824,0,0,42445,0.08143099999999999,0,0,32,0,optimal,DONE
18,aflow40b.mps.gz,-66091.0,0,0,1005.6648165120567,1168.0,14162.446421999999,1168.0,0.0,2608,0,0,5221215,0.279289,0,0,16,0,optimal,DONE
18,aflow40b.mps.gz,-66091.0,0,0,1005.6648165120567,1168.0,14599.242918,1168.0,0.0,2608,0,0,5221215,0.277937,0,0,2,0,optimal,DONE
18,aflow40b.mps.gz,-66091.0,0,0,1005.6648165120567,1168.0,13641.395033,1168.0,0.0,2608,0,0,5221215,0.271919,0,0,4,0,optimal,DONE
18,aflow40b.mps.gz,-66091.0,0,0,1005.6648165120567,1168.0,14192.499741,1168.0,0.0,2608,0,0,5221215,0.28417,0,0,32,0,optimal,DONE
