,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,Minimum Time,Minimum Nodes
434,cvs16r106-72.mps.gz,32,18000.00032,81943,18000.00218,680082,0.157055745,0.165819663,18000.00032,81943
435,cvs16r128-89.mps.gz,2,18000.00046,28936,18000.00125,209995,0.11204891199999999,0.0951957,18000.00046,28936
436,cvs16r128-89.mps.gz,4,18000.0008,30301,18000.00076,206313,0.11104456900000001,0.09556853900000001,18000.00076,30301
437,cvs16r128-89.mps.gz,8,18000.00039,27851,18000.000630000002,212900,0.112694683,0.09493439,18000.00039,27851
438,cvs16r128-89.mps.gz,16,18000.0005,27803,18000.00096,318662,0.112694683,0.088664491,18000.0005,27803
439,cvs16r128-89.mps.gz,32,18000.00039,26682,18000.0008,294494,0.113777574,0.09005285199999999,18000.00039,26682
445,cvs16r89-60.mps.gz,2,18000.00038,83423,18000.00062,1716105,0.069904772,0.045211703,18000.00038,83423
446,cvs16r89-60.mps.gz,4,18000.00024,85224,18000.00029,1684473,0.069615766,0.046044452,18000.00024,85224
447,cvs16r89-60.mps.gz,8,18000.00026,82597,18000.000640000002,1641694,0.070001195,0.047359140999999993,18000.00026,82597
448,cvs16r89-60.mps.gz,16,18000.00027,82658,18000.00084,1539641,0.070001195,0.049949071,18000.00027,82658
449,cvs16r89-60.mps.gz,32,18000.00038,83325,18000.00046,1692094,0.069908845,0.045839252000000004,18000.00038,83325
450,dale-cta.mps.gz,2,18000.015040000002,372760,18000.07551,568120,0.196261682,0.29292929300000004,18000.015040000002,372760
451,dale-cta.mps.gz,4,18000.01395,378478,18000.10051,549580,0.196261682,0.29292929300000004,18000.01395,378478
452,dale-cta.mps.gz,8,18000.01843,370049,18000.14552,542906,0.196261682,0.29292929300000004,18000.01843,370049
453,dale-cta.mps.gz,16,18000.01873,370728,18000.017219999998,492248,0.196261682,0.29292929300000004,18000.017219999998,370728
454,dale-cta.mps.gz,32,18000.01056,373103,18000.01987,500588,0.196261682,0.29292929300000004,18000.01056,373103
470,dc1c.mps.gz,2,18000.001180000003,71000,18000.02265,12714,0.010549178000000001,0.039353217999999995,18000.001180000003,12714
471,dc1c.mps.gz,4,18000.00117,72043,18000.00119,12066,0.010541513,0.039354521,18000.00117,12066
472,dc1c.mps.gz,8,18000.00376,67601,18000.01351,11492,0.010560614,0.039358423,18000.00376,11492
