,NAME,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
177,mushroom-best.mps.gz,18000.004564000003,3221.0545123999996,660851.0,64701.0,0,1,1,0,3221.0545123999996,64701.0,18000.004564000003,3221.0545123999996,18000.004564000003,660851.0,64701.0,660851.0
178,aflow30a.mps.gz,32.080764,60.3437684,1923.0,42445.0,1,1,1,1,32.080764,1923.0,32.080764,32.080764,32.080764,1923.0,1923.0,1923.0
179,opm2-z8-s0.mps.gz,1444.7253865999999,1760.4599506,3495.0,6931.0,1,1,1,1,1444.7253865999999,3495.0,1444.7253865999999,1444.7253865999999,1444.7253865999999,3495.0,3495.0,3495.0
180,h80x6320.mps.gz,2.3469636,2.3053452,1.0,1.0,0,1,1,0,2.3053452,1.0,2.3469636,2.3053452,2.3469636,1.0,1.0,1.0
181,rmatr100-p10.mps.gz,223.90211000000005,196.4976084,739.0,797.0,0,1,1,0,196.4976084,739.0,223.90211000000005,196.4976084,223.90211000000005,739.0,797.0,739.0
182,mik-250-20-75-3.mps.gz,12.4214392,39.855114,678.0,93985.0,1,1,1,1,12.4214392,678.0,12.4214392,12.4214392,12.4214392,678.0,678.0,678.0
183,neos-503737.mps.gz,295.419806,187.74319119999998,2729.0,5196.0,0,1,1,0,187.74319119999998,2729.0,295.419806,187.74319119999998,295.419806,2729.0,5196.0,2729.0
184,neos-585192.mps.gz,35.0591484,26.769796799999998,621.0,599.0,0,1,1,0,26.769796799999998,599.0,35.0591484,26.769796799999998,35.0591484,621.0,599.0,621.0
185,p500x2988c.mps.gz,2.5278176,3.5819532,1.0,27.0,1,1,1,1,2.5278176,1.0,2.5278176,2.5278176,2.5278176,1.0,1.0,1.0
186,neos-5178119-nalagi.mps.gz,1520.2884126000001,1050.9077558000001,18327.0,36256.0,0,1,1,0,1050.9077558000001,18327.0,1520.2884126000001,1050.9077558000001,1520.2884126000001,18327.0,36256.0,18327.0
187,nu25-pr12.mps.gz,4.4199665999999995,134.3983096,11.0,9816.0,1,1,1,1,4.4199665999999995,11.0,4.4199665999999995,4.4199665999999995,4.4199665999999995,11.0,11.0,11.0
188,air04.mps.gz,71.47907760000001,115.22622739999998,134.0,499.0,1,1,1,1,71.47907760000001,134.0,71.47907760000001,71.47907760000001,71.47907760000001,134.0,134.0,134.0
189,neos-807639.mps.gz,11.04434,6.9665669999999995,2243.0,1797.0,0,1,1,0,6.9665669999999995,1797.0,11.04434,6.9665669999999995,11.04434,2243.0,1797.0,2243.0
190,neos-4724674-aorere.mps.gz,1560.8528101999998,2461.3306866,3221.0,6920.0,1,1,1,1,1560.8528101999998,3221.0,1560.8528101999998,1560.8528101999998,1560.8528101999998,3221.0,3221.0,3221.0
191,nsa.mps.gz,2.2458152,3.9381714000000003,219.0,230.0,1,1,1,1,2.2458152,219.0,2.2458152,2.2458152,2.2458152,219.0,219.0,219.0
192,30_70_45_05_100.mps.gz,303.66586900000004,408.81663399999996,46.0,201.0,1,1,1,1,303.66586900000004,46.0,303.66586900000004,303.66586900000004,303.66586900000004,46.0,46.0,46.0
193,neos-935769.mps.gz,18000.0418124,10859.9901936,1640.6,552.0,0,1,0,0,10859.9901936,552.0,10859.9901936,10859.9901936,18000.0418124,552.0,552.0,1640.6
194,manna81.mps.gz,0.5649234,18000.6184738,1.0,3858194.0,1,1,1,1,0.5649234,1.0,0.5649234,0.5649234,0.5649234,1.0,1.0,1.0
195,enlight8.mps.gz,0.0136824,0.0127946,1.0,1.0,0,1,1,0,0.0127946,1.0,0.0136824,0.0127946,0.0136824,1.0,1.0,1.0
196,neos-3045796-mogo.mps.gz,3.1314582,5.168594799999999,1.0,1.0,1,1,1,1,3.1314582,1.0,3.1314582,3.1314582,3.1314582,1.0,1.0,1.0
197,ns1644855.mps.gz,1036.9228677999997,864.3341208000002,1.0,1.0,0,1,1,0,864.3341208000002,1.0,1036.9228677999997,864.3341208000002,1036.9228677999997,1.0,1.0,1.0
198,supportcase4.mps.gz,2.6410476,80.22579259999999,1.0,160.0,1,1,1,1,2.6410476,1.0,2.6410476,2.6410476,2.6410476,1.0,1.0,1.0
199,neos-829552.mps.gz,458.02035720000003,335.06904799999995,213.0,123.0,0,1,1,0,335.06904799999995,123.0,458.02035720000003,335.06904799999995,458.02035720000003,213.0,123.0,213.0
