,NAME,RANDOM SEED,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PRESOLVING TIME W/O CUTS,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,vars,bin_vars,int_vars,cont_vars,constr,linsetpart_constr,linsetpack_constr,linsetcov_constr,lincard_constr,lineqknap_constr,linbinpack_constr,linknaps_constr,linintknap_constr,linmixbin_constr,nonzeroes,obj_dyn,dynamism_mean,presol_vars,presol_int_vars,presol_constr
11,23588.mps.gz,4,4.999079,2.227333,576,981,0.063889,0.088713,0.216589,2.108805,7649.866133822501,7660.0,34.0,7765.0,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168931,0.0,4.919980925828125
12,23588.mps.gz,8,4.948153,2.215416,576,981,0.0513379999999999,0.044205,0.171509,2.06301,7649.866133822501,7660.0,34.0,7765.0,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168931,0.0,4.919980925828125
13,23588.mps.gz,16,5.095594,2.202889,576,981,0.039617,0.080593,0.20937,2.157763,7649.866133822501,7660.0,34.0,7765.0,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168931,0.0,4.919980925828125
14,23588.mps.gz,32,5.068528,2.199532,576,981,0.047332,0.045471,0.1734639999999999,2.121954,7649.866133822501,7660.0,34.0,7765.0,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168931,0.0,4.919980925828125
15,30_70_45_05_100.mps.gz,2,298.609909,235.367094,46,201,2.528752,5.457588,21.920498,159.298551,-5336.0,8.5,13.0,9.0,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.72884,0.0,9.284334051884509,0.0,9.396653950039674
16,30_70_45_05_100.mps.gz,4,305.366806,235.585043,46,201,2.531237,5.477681,21.992611,160.240427,-5336.0,8.5,13.0,9.0,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.72884,0.0,9.284334051884509,0.0,9.396653950039674
17,30_70_45_05_100.mps.gz,8,303.519996,262.944749,46,201,5.494688,5.490033,22.027379,159.327068,-5336.0,8.5,13.0,9.0,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.72884,0.0,9.284334051884509,0.0,9.396653950039674
18,30_70_45_05_100.mps.gz,16,305.662712,254.466751,46,201,5.455734,5.479703,22.117564,160.883405,-5336.0,8.5,13.0,9.0,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.72884,0.0,9.284334051884509,0.0,9.396653950039674
19,30_70_45_05_100.mps.gz,32,305.169922,255.579851,46,201,5.470915,5.477684,22.06962,160.390231,-5336.0,8.5,13.0,9.0,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.72884,0.0,9.284334051884509,0.0,9.396653950039674
20,30_70_45_095_100.mps.gz,2,877.533328,57.014318,201,1,5.882442,5.884104,23.860644,193.152846,-6132.0,3.0,12.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011662e-05,9.435561763085358,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085358
21,30_70_45_095_100.mps.gz,4,882.143294,57.299148,201,1,5.897666,5.890264,23.806992,193.987882,-6132.0,3.0,12.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011662e-05,9.435561763085358,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085358
22,30_70_45_095_100.mps.gz,8,880.737718,57.558278,201,1,5.89804,5.887144,23.891676,193.262789,-6132.0,3.0,12.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011662e-05,9.435561763085358,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085358
23,30_70_45_095_100.mps.gz,16,816.819331,57.55841,201,1,5.900406,5.460195,23.117007,185.338525,-6132.0,3.0,12.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011662e-05,9.435561763085358,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085358
24,30_70_45_095_100.mps.gz,32,819.28474,55.740098,201,1,5.88269,5.456375,23.025433,185.562075,-6132.0,3.0,12.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011662e-05,9.435561763085358,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085358
25,30_70_45_095_98.mps.gz,2,69.955694,28.407946,1,1,5.383697,5.408618,18.319713,69.955544,-5967.0,11.5,11.0,12.0,9.304741047397666,0.999909008189263,0.0,9.099181073703367e-05,9.431161227920747,0.0,0.0,0.0015235346002726326,0.0,0.0,0.0,0.0,0.0,0.16053243524977948,0.00033845217902804753,3.77706,0.0,9.303648549109834,0.0,9.430359045942868
26,30_70_45_095_98.mps.gz,4,73.107282,28.407951,1,1,5.405406,5.340485,18.371857,73.107114,-5967.0,11.5,11.0,12.0,9.304741047397666,0.999909008189263,0.0,9.099181073703367e-05,9.431161227920747,0.0,0.0,0.0015235346002726326,0.0,0.0,0.0,0.0,0.0,0.16053243524977948,0.00033845217902804753,3.77706,0.0,9.303648549109834,0.0,9.430359045942868
