NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
breastcancer-regularized.mps.gz,0.10438504146670737,0,0,0.15354733907478413,35.767842105263156,5426.396999,0.151492,35.767842105263156,0.0,1440,0,0,2424498,0.127969,0,0,4,0,optimal,DONE
cap6000.mps.gz,-10950240.0,0,0,-2451537.3250240455,-2451377.0,2.138568,0.30768799999999996,-2451377.0,0.0,1760,0,0,1906,0.271344,0,0,4,0,optimal,DONE
cbs-cta.mps.gz,0,0,0,0,0.0,60.23523,0.39754599999999995,0.0,0.0,9970,0,0,58,0.450884,0,0,4,0,optimal,DONE
chromaticindex128-5.mps.gz,3.0,0,0,3.0000000000000004,4.0,1258.150042,0.333318,4.0,0.0,8447,0,0,100314,0.36117299999999997,0,0,4,0,optimal,DONE
chromaticindex256-8.mps.gz,3.0,0,0,3.0,4.0,2453.166768,1.152729,4.0,0.0,33787,0,0,20756,0.972011,0,0,4,0,optimal,DONE
chromaticindex32-8.mps.gz,3.0,0,0,3.0,4.0,3.960467,0.074851,4.0,0.0,2111,0,0,249,0.081092,0,0,4,0,optimal,DONE
chromaticindex512-7.mps.gz,3.0,0,0,2.9999999999999996,4.0,1077.926807,2.073391,4.0,0.0,33791,0,0,375,2.20069,0,0,4,0,optimal,DONE
ci-s4.mps.gz,-82.59640741576601,0,0,1872.8738611763554,3336.239848457258,61.67268,0.6182949999999999,3336.239848457258,0.0,3610,0,0,36900,0.623544,0,0,4,0,optimal,DONE
cmflsp50-24-8-8.mps.gz,2240280.5300000003,0,0,54633108.509346545,23801305.419999663,18000.004781,1.9749029999999999,1e+20,1e+20,3480,0,0,122543,2.026164,0,0,4,0,timelimit,DONE
co-100.mps.gz,8260.0,0,0,1048867.1985583697,2640287.32,18000.008457,21.601916,2640287.32,0.015772470315575046,12008,0,0,252902,18.013813,0,0,4,0,timelimit,DONE
cod105.mps.gz,-480.0,0,0,-15.237441204027942,-11.999999999999996,22.693764,2.749455,-11.999999999999996,0.0,972,0,0,3,2.7607749999999998,0,0,4,0,optimal,DONE
comp08-2idx.mps.gz,0,0,0,0,39.0,18000.005212,5.329666,39.0,3.875,24197,0,0,441848,5.254157,0,0,4,0,timelimit,DONE
core2536-691.mps.gz,8.0,0,0,688.4760340423485,689.0,1168.889947,1.246653,689.0,0.0,1893,0,0,1199,1.316568,0,0,4,0,optimal,DONE
csched007.mps.gz,-3648.0,0,0,269.2515873015873,351.0,18000.014951,0.41769999999999996,351.0,0.07194665716539861,1191,0,0,4077081,0.088624,0,0,4,0,timelimit,DONE
csched008.mps.gz,171.0,0,0,171.0,173.0,1190.611718,0.27791,173.0,0.0,1195,0,0,177227,0.105111,0,0,4,0,optimal,DONE
csched010.mps.gz,-3237.0,0,0,332.42272727272757,408.0,4639.780214,0.311756,408.0,0.0,1038,0,0,1030671,0.172533,0,0,4,0,optimal,DONE
cvs16r70-62.mps.gz,-798.0,0,0,-56.374113944635525,-42.0,5627.850411,0.569534,-42.0,0.0,4338,0,0,524799,0.519342,0,0,4,0,optimal,DONE
dano3_3.mps.gz,288.5,0,0,576.2316202745667,576.3446330306436,144.893158,0.8863869999999999,576.3446330306436,0.0,3151,0,0,20,0.9259229999999999,0,0,4,0,optimal,DONE
dano3_5.mps.gz,288.5,0,0,576.231620274568,576.9249159565587,433.71533,1.152943,576.9249159565587,0.0,3151,0,0,138,1.204729,0,0,4,0,optimal,DONE
danoint.mps.gz,40.5,0,0,62.69,65.66666666666666,6127.026042,0.036916,65.66666666666666,0.0,1312,0,0,1591551,0.036122999999999995,0,0,4,0,optimal,DONE
dcmulti.mps.gz,-1217.0000000000005,0,0,185657.48928571428,188182.0,1.215221,0.025668999999999997,188182.0,0.0,450,0,0,1425,0.025587,0,0,4,0,optimal,DONE
decomp1.mps.gz,-120.0,0,0,-120.0,-120.0,20.058101,1.164534,-120.0,0.0,3502,0,0,1334,1.197042,0,0,4,0,optimal,DONE
decomp2.mps.gz,-160.0,0,0,-160.0,-160.0,11.238082,1.886631,-160.0,0.0,4828,0,0,336,1.9226139999999998,0,0,4,0,optimal,DONE
